LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AZ: PHOENIX,01/01/2020 00:29:00,88.00,3084.00,1727.00,507.00,292.00,181.00,208.00,136.00,40.00,APPROVED
AZ: PHOENIX,01/01/2020 01:29:00,85.00,3069.00,1709.00,495.00,284.00,176.00,208.00,133.00,40.00,APPROVED
AZ: PHOENIX,01/01/2020 02:30:00,85.00,3060.00,1707.00,495.00,283.00,179.00,205.00,132.00,40.00,APPROVED
AZ: PHOENIX,01/01/2020 03:30:00,84.00,3070.00,1718.00,504.00,286.00,179.00,208.00,133.00,38.00,APPROVED
AZ: PHOENIX,01/01/2020 04:30:00,89.00,3084.00,1738.00,507.00,294.00,178.00,210.00,137.00,41.00,APPROVED
AZ: PHOENIX,01/01/2020 05:30:00,86.00,3102.00,1758.00,519.00,294.00,183.00,218.00,136.00,40.00,APPROVED
AZ: PHOENIX,01/01/2020 06:31:00,83.00,3120.00,1797.00,528.00,304.00,186.00,220.00,135.00,42.00,APPROVED
AZ: PHOENIX,01/01/2020 07:31:00,88.00,3154.00,1829.00,542.00,318.00,195.00,226.00,142.00,43.00,APPROVED
AZ: PHOENIX,01/01/2020 08:31:00,89.00,3220.00,1921.00,560.00,338.00,196.00,234.00,148.00,44.00,APPROVED
AZ: PHOENIX,01/01/2020 09:31:00,86.00,3256.00,1984.00,576.00,356.00,202.00,248.00,152.00,48.00,APPROVED
AZ: PHOENIX,01/01/2020 10:31:00,89.00,3334.00,2084.00,601.00,374.00,212.00,262.00,158.00,48.00,APPROVED
AZ: PHOENIX,01/01/2020 11:32:00,88.00,3394.00,2140.00,623.00,388.00,217.00,271.00,163.00,53.00,APPROVED
AZ: PHOENIX,01/01/2020 12:32:00,89.00,3379.00,2101.00,623.00,373.00,216.00,266.00,160.00,49.00,APPROVED
AZ: PHOENIX,01/01/2020 13:32:00,88.00,3324.00,2031.00,598.00,356.00,207.00,255.00,152.00,49.00,APPROVED
AZ: PHOENIX,01/01/2020 14:32:00,87.00,3249.00,1919.00,563.00,325.00,197.00,234.00,145.00,46.00,APPROVED
AZ: PHOENIX,01/01/2020 15:33:00,87.00,3240.00,1860.00,545.00,309.00,188.00,218.00,138.00,43.00,APPROVED
AZ: PHOENIX,01/01/2020 16:33:00,90.00,3212.00,1826.00,536.00,303.00,187.00,222.00,139.00,43.00,APPROVED
AZ: PHOENIX,01/01/2020 17:33:00,89.00,3158.00,1776.00,524.00,290.00,181.00,211.00,134.00,43.00,APPROVED
AZ: PHOENIX,01/01/2020 18:33:00,89.00,3152.00,1768.00,511.00,286.00,183.00,209.00,132.00,44.00,APPROVED
AZ: PHOENIX,01/01/2020 19:33:00,90.00,3148.00,1769.00,514.00,287.00,178.00,208.00,133.00,41.00,APPROVED
AZ: PHOENIX,01/01/2020 20:34:00,88.00,3148.00,1781.00,513.00,292.00,182.00,208.00,135.00,42.00,APPROVED
AZ: PHOENIX,01/01/2020 21:34:00,90.00,3149.00,1778.00,514.00,294.00,180.00,210.00,133.00,43.00,APPROVED
AZ: PHOENIX,01/01/2020 22:34:00,88.00,3149.00,1758.00,508.00,294.00,179.00,209.00,134.00,42.00,APPROVED
AZ: PHOENIX,01/01/2020 23:34:00,90.00,3096.00,1731.00,500.00,287.00,182.00,203.00,134.00,42.00,APPROVED
AZ: PHOENIX,01/02/2020 00:35:00,89.00,3114.00,1737.00,505.00,287.00,179.00,207.00,135.00,40.00,APPROVED
AZ: PHOENIX,01/02/2020 01:35:00,88.00,3096.00,1717.00,500.00,281.00,177.00,205.00,133.00,40.00,APPROVED
AZ: PHOENIX,01/02/2020 02:35:00,88.00,3087.00,1713.00,500.00,278.00,179.00,203.00,133.00,40.00,APPROVED
AZ: PHOENIX,01/02/2020 03:35:00,90.00,3107.00,1721.00,499.00,284.00,181.00,205.00,132.00,41.00,APPROVED
