LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: BATON ROUGE,05/03/2008 00:14:00,,2430.00,328.00,131.00,152.00,169.00,102.00,29.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 01:14:00,,2387.00,319.00,128.00,147.00,166.00,100.00,29.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 02:14:00,,2401.00,320.00,128.00,144.00,168.00,101.00,28.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 03:14:00,,2427.00,323.00,130.00,147.00,165.00,102.00,29.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 04:14:00,,2450.00,326.00,132.00,149.00,168.00,104.00,30.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 05:15:00,,2473.00,328.00,130.00,152.00,167.00,104.00,31.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 06:15:00,,2475.00,336.00,130.00,150.00,171.00,104.00,29.00,23.00,APPROVED
LA: BATON ROUGE,05/03/2008 07:15:00,,2445.00,328.00,131.00,152.00,169.00,104.00,29.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 08:15:00,,2445.00,321.00,127.00,151.00,167.00,101.00,28.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 09:15:00,,2444.00,325.00,128.00,151.00,171.00,100.00,29.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 10:16:00,,2440.00,326.00,128.00,149.00,168.00,102.00,29.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 11:16:00,,2486.00,327.00,131.00,149.00,168.00,104.00,29.00,21.00,APPROVED
LA: BATON ROUGE,05/03/2008 12:16:00,,3086.00,461.00,161.00,213.00,207.00,135.00,30.00,33.00,APPROVED
LA: BATON ROUGE,05/03/2008 13:16:00,,3281.00,509.00,180.00,256.00,236.00,157.00,33.00,38.00,APPROVED
LA: BATON ROUGE,05/03/2008 14:16:00,,2718.00,402.00,154.00,205.00,201.00,135.00,29.00,32.00,APPROVED
LA: BATON ROUGE,05/03/2008 15:17:00,,2260.00,312.00,129.00,157.00,165.00,109.00,25.00,24.00,APPROVED
LA: BATON ROUGE,05/03/2008 16:17:00,,2069.00,287.00,120.00,140.00,155.00,101.00,23.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 17:17:00,,1966.00,274.00,116.00,137.00,153.00,97.00,25.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 18:17:00,,1948.00,274.00,118.00,137.00,157.00,96.00,26.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 19:17:00,,1939.00,273.00,116.00,136.00,154.00,98.00,27.00,21.00,APPROVED
LA: BATON ROUGE,05/03/2008 20:18:00,,1930.00,272.00,117.00,135.00,156.00,99.00,28.00,22.00,APPROVED
LA: BATON ROUGE,05/03/2008 21:18:00,,1907.00,272.00,118.00,136.00,152.00,96.00,27.00,21.00,APPROVED
LA: BATON ROUGE,05/03/2008 22:18:00,,1913.00,271.00,118.00,138.00,157.00,95.00,28.00,23.00,APPROVED
LA: BATON ROUGE,05/03/2008 23:18:00,,1905.00,269.00,115.00,138.00,158.00,97.00,28.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 00:18:00,,1929.00,280.00,119.00,137.00,159.00,96.00,28.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 01:19:00,,1998.00,284.00,120.00,140.00,158.00,100.00,27.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 02:19:00,,2044.00,286.00,122.00,139.00,154.00,102.00,26.00,23.00,APPROVED
LA: BATON ROUGE,05/04/2008 03:19:00,,2088.00,289.00,124.00,141.00,162.00,100.00,25.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 04:19:00,,2176.00,296.00,122.00,144.00,160.00,104.00,25.00,23.00,APPROVED
LA: BATON ROUGE,05/04/2008 05:19:00,,2256.00,310.00,130.00,149.00,165.00,108.00,24.00,23.00,APPROVED
LA: BATON ROUGE,05/04/2008 06:20:00,,2249.00,308.00,128.00,147.00,167.00,108.00,24.00,23.00,APPROVED
LA: BATON ROUGE,05/04/2008 07:20:00,,2292.00,310.00,129.00,149.00,164.00,107.00,23.00,23.00,APPROVED
LA: BATON ROUGE,05/04/2008 08:20:00,,2323.00,319.00,129.00,151.00,166.00,107.00,23.00,23.00,APPROVED
LA: BATON ROUGE,05/04/2008 09:20:00,,2375.00,323.00,128.00,153.00,168.00,106.00,21.00,23.00,APPROVED
LA: BATON ROUGE,05/04/2008 10:20:00,,2388.00,317.00,131.00,148.00,165.00,108.00,20.00,24.00,APPROVED
LA: BATON ROUGE,05/04/2008 11:20:00,,2429.00,321.00,128.00,149.00,167.00,110.00,19.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 12:21:00,,2446.00,320.00,129.00,147.00,165.00,107.00,19.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 13:21:00,,2425.00,320.00,130.00,149.00,165.00,110.00,18.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 14:21:00,,2364.00,315.00,128.00,147.00,161.00,112.00,19.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 15:21:00,,2265.00,308.00,124.00,146.00,166.00,106.00,21.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 16:21:00,,2195.00,300.00,125.00,147.00,164.00,105.00,23.00,21.00,APPROVED
LA: BATON ROUGE,05/04/2008 17:22:00,,2107.00,295.00,123.00,143.00,163.00,103.00,24.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 18:22:00,,2043.00,289.00,124.00,141.00,161.00,104.00,26.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 19:22:00,,2037.00,288.00,122.00,142.00,161.00,104.00,28.00,24.00,APPROVED
LA: BATON ROUGE,05/04/2008 20:22:00,,2003.00,288.00,123.00,144.00,164.00,101.00,27.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 21:22:00,,1979.00,281.00,121.00,140.00,162.00,100.00,27.00,22.00,APPROVED
LA: BATON ROUGE,05/04/2008 22:23:00,,1969.00,280.00,120.00,140.00,159.00,99.00,29.00,23.00,APPROVED
LA: BATON ROUGE,05/04/2008 23:23:00,,1966.00,281.00,122.00,137.00,162.00,101.00,27.00,22.00,APPROVED
LA: BATON ROUGE,05/05/2008 00:23:00,,2000.00,283.00,121.00,141.00,159.00,101.00,27.00,21.00,APPROVED
LA: BATON ROUGE,05/05/2008 01:23:00,,2068.00,292.00,123.00,142.00,165.00,101.00,27.00,23.00,APPROVED
LA: BATON ROUGE,05/05/2008 02:23:00,,2129.00,296.00,122.00,142.00,163.00,104.00,26.00,21.00,APPROVED
LA: BATON ROUGE,05/05/2008 03:24:00,,2192.00,302.00,125.00,145.00,164.00,104.00,25.00,21.00,APPROVED
LA: BATON ROUGE,05/05/2008 04:24:00,,2224.00,305.00,126.00,144.00,163.00,105.00,25.00,22.00,APPROVED
LA: BATON ROUGE,05/05/2008 05:24:00,,2260.00,314.00,128.00,149.00,166.00,107.00,24.00,22.00,APPROVED
LA: BATON ROUGE,05/05/2008 06:24:00,,2299.00,313.00,128.00,152.00,167.00,109.00,22.00,24.00,APPROVED
LA: BATON ROUGE,05/05/2008 07:24:00,,2335.00,317.00,130.00,151.00,166.00,107.00,22.00,23.00,APPROVED
LA: BATON ROUGE,05/05/2008 08:25:00,,2383.00,320.00,133.00,154.00,171.00,110.00,21.00,24.00,APPROVED
LA: BATON ROUGE,05/05/2008 09:25:00,,2397.00,323.00,129.00,154.00,167.00,111.00,21.00,23.00,APPROVED
LA: BATON ROUGE,05/05/2008 10:25:00,,2430.00,328.00,131.00,154.00,169.00,111.00,21.00,23.00,APPROVED
LA: BATON ROUGE,05/05/2008 11:25:00,,2449.00,327.00,132.00,153.00,168.00,111.00,20.00,22.00,APPROVED
LA: BATON ROUGE,05/05/2008 12:25:00,,2465.00,330.00,132.00,156.00,170.00,116.00,20.00,23.00,APPROVED
LA: BATON ROUGE,05/05/2008 13:26:00,,2427.00,330.00,133.00,154.00,169.00,112.00,22.00,22.00,APPROVED
LA: BATON ROUGE,05/05/2008 14:26:00,,2323.00,310.00,127.00,153.00,168.00,111.00,21.00,24.00,APPROVED
LA: BATON ROUGE,05/05/2008 15:26:00,,2188.00,300.00,124.00,148.00,160.00,107.00,24.00,22.00,APPROVED
LA: BATON ROUGE,05/05/2008 16:26:00,,2112.00,292.00,127.00,143.00,162.00,104.00,27.00,22.00,APPROVED
