LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MA: BOSTON,01/01/2015 00:42:00,,3001.00,1842.00,539.00,284.00,190.00,222.00,139.00,40.00,APPROVED
MA: BOSTON,01/01/2015 01:42:00,,3015.00,1849.00,541.00,277.00,191.00,222.00,137.00,40.00,APPROVED
MA: BOSTON,01/01/2015 02:42:00,,3025.00,1868.00,544.00,279.00,194.00,221.00,136.00,38.00,APPROVED
MA: BOSTON,01/01/2015 03:43:00,,3049.00,1874.00,547.00,280.00,191.00,225.00,137.00,40.00,APPROVED
MA: BOSTON,01/01/2015 04:43:00,,3061.00,1866.00,544.00,282.00,189.00,226.00,135.00,41.00,APPROVED
MA: BOSTON,01/01/2015 05:43:00,,3051.00,1860.00,546.00,280.00,193.00,222.00,136.00,40.00,APPROVED
MA: BOSTON,01/01/2015 06:43:00,,3052.00,1856.00,541.00,277.00,195.00,226.00,132.00,38.00,APPROVED
MA: BOSTON,01/01/2015 07:43:00,,3052.00,1853.00,541.00,276.00,191.00,227.00,131.00,39.00,APPROVED
MA: BOSTON,01/01/2015 08:44:00,,3068.00,1869.00,543.00,279.00,191.00,226.00,130.00,39.00,APPROVED
MA: BOSTON,01/01/2015 09:44:00,,3075.00,1875.00,550.00,282.00,191.00,225.00,134.00,39.00,APPROVED
MA: BOSTON,01/01/2015 10:44:00,,3067.00,1854.00,552.00,280.00,196.00,225.00,130.00,38.00,APPROVED
MA: BOSTON,01/01/2015 11:44:00,,3070.00,1866.00,555.00,280.00,193.00,226.00,133.00,39.00,APPROVED
MA: BOSTON,01/01/2015 12:45:00,,3078.00,1872.00,551.00,278.00,193.00,229.00,131.00,40.00,APPROVED
MA: BOSTON,01/01/2015 13:45:00,,3076.00,1869.00,549.00,281.00,193.00,229.00,133.00,41.00,APPROVED
MA: BOSTON,01/01/2015 14:45:00,,3063.00,1886.00,553.00,284.00,198.00,226.00,135.00,40.00,APPROVED
MA: BOSTON,01/01/2015 15:45:00,,3067.00,1884.00,549.00,286.00,198.00,227.00,140.00,39.00,APPROVED
MA: BOSTON,01/01/2015 16:45:00,,3060.00,1900.00,551.00,286.00,195.00,227.00,140.00,42.00,APPROVED
MA: BOSTON,01/01/2015 17:46:00,,3069.00,1892.00,557.00,289.00,194.00,224.00,145.00,40.00,APPROVED
MA: BOSTON,01/01/2015 18:46:00,,3061.00,1904.00,559.00,290.00,198.00,225.00,147.00,42.00,APPROVED
MA: BOSTON,01/01/2015 19:46:00,,3061.00,1915.00,556.00,294.00,199.00,227.00,150.00,40.00,APPROVED
